你們|ㄋㄧˇ ㄇㄣ・|you, plural
人們|ㄖㄣˊ ㄇㄣ・|people
哪裡|ㄋㄚˇ ㄌㄧˇ|where, somewhere, humble expression denying compliment
哪些|ㄋㄚˇ ㄒㄧㄝ|which one
那些|ㄋㄚˋ ㄒㄧㄝ|those
那個人|ㄋㄚˋ ㄍㄜˋ ㄖㄣˊ|that person, the person you've been looking for, Mr. Right
那裡|ㄋㄚˋ ㄌㄧ・|there
那邊|ㄋㄚˋ ㄅㄧㄢ・|over there
那麼|ㄋㄚˋ ㄇㄜ・|like that, in that way, so
這麼|ㄓㄜˋ ㄇㄜ・|like this, so much, this much, this way
什麼|ㄕㄜˊ ㄇㄜ・|what, anything
今天|ㄐㄧㄣ ㄊㄧㄢ|today
今天下午|ㄐㄧㄣ ㄊㄧㄢ ㄒㄧㄚˋ ㄨˇ|this afternoon
今天早上|ㄐㄧㄣ ㄊㄧㄢ ㄗㄠˇ ㄕㄤ・|this morning
今天晚上|ㄐㄧㄣ ㄊㄧㄢ ㄨㄢˇ ㄕㄤ・|tonight
下午|ㄒㄧㄚˋ ㄨˇ|afternoon
早上|ㄗㄠˇ ㄕㄤ・|morning
晚上|ㄨㄢˇ ㄕㄤ・|evening
的時候|ㄉㄜ・ ㄕˊ ㄏㄡ・|when
時候|ㄕˊ ㄏㄡ・|length of time, moment, period
