你|ㄋㄧˇ|you
些|ㄒㄧㄝ|some; a few
個|ㄍㄜˋ|mw for people or objects in general
好|ㄏㄠˇ|good; very
那|ㄋㄚˋ|that
那|ㄋㄟˋ|combined form of 那一; often used to indicate emphasis or contempt
多|ㄉㄨㄛ|many; much; more than; how
玩|ㄨㄢˊ|to play with; to amuse oneself with
玩|ㄨㄢˋ|to joke; something to amuse oneself
家|ㄐㄧㄚ|household or family; mw for stores
這|ㄓㄜˋ|this
邊|ㄅㄧㄢ|border; edge; side
人|ㄖㄣˊ|human; person
是|ㄕˋ|is; to be correct; yes
麼|ㄇㄜ・|what; (interrogative particle)
麼|ㄇㄛˊ|tiny; special particle found in dramatic dialogues
麼|ㄇㄚˊ|particle used in the phrase 幹麼
哪|ㄋㄚˇ|(interrogative particle) where / how / what / which
裡|ㄌㄧˇ|inside
我|ㄨㄛˇ|I; me
們|ㄇㄣ・|plurality of persons
今|ㄐㄧㄣ|now; currently; recent
天|ㄊㄧㄢ|sky; day; heaven; God; nature
早|ㄗㄠˇ|morning; early; Good morning!
來|ㄌㄞˊ|to come or arrive
到|ㄉㄠˋ|to arrive; until
了|ㄌㄜ・|(particle indicating change or completion); (indicating a past event); (indicating imperative)
了|ㄌㄧㄠˇ|to finish/complete; remarkable; (indicating capability)
一|ㄧ|one; Chinese radical
二|ㄦˋ|two
時|ㄕˊ|time; hour; mw for o'clock
候|ㄏㄡˋ|to hope or expect; to wait
有|ㄧㄡˇ|to have
太|ㄊㄞˋ|very big; excessively; extremely
吃|ㄔ|to eat
的|ㄉㄜ・|of
東|ㄉㄨㄥ|East
晚|ㄨㄢˇ|evening; late
西|ㄒㄧ|West
沒|ㄇㄛˋ|to sink/submerge; to overflow; to disappear
沒|ㄇㄟˊ|(negative prefix for verbs)
而|ㄦˊ|accordingly; otherwise; and; yet; but
且|ㄑㄧㄝˇ|moreover; and
上|ㄕㄤˋ|above; upper; previous
朋|ㄆㄥˊ|friend
友|ㄧㄡˇ|friend; friendly
他|ㄊㄚ|he
都|ㄉㄡ|all
都|ㄉㄨ|a large town/city; capital of a nation
很|ㄏㄣˇ|very
午|ㄨˇ|noon
